firm_id,date,inflow,outflow,balance
F100000,2024-03-31,33992.74,17689.36,33474.12
F100000,2024-04-30,31957.02,18714.76,46127.24
F100000,2024-05-31,28827.76,13419.68,61762.92
F100000,2024-06-30,37587.89,18957.84,81001.84
F100000,2024-07-31,32023.41,17964.95,93697.07
F100000,2024-08-31,38513.89,19365.24,112784.24
F100000,2024-09-30,33985.38,18961.98,125118.5
F100000,2024-10-31,36755.94,15962.52,145732.45
F100000,2024-11-30,41078.28,19971.61,165944.98
F100000,2024-12-31,31061.61,15821.72,182466.33
F100000,2025-01-31,34387.86,18804.84,196516.43
F100000,2025-02-28,26251.68,12416.55,212849.6
F100000,2025-03-31,33982.17,17392.84,228513.89
F100000,2025-04-30,21687.85,11048.7,243872.58
F100000,2025-05-31,29516.18,13893.18,258362.16
F100000,2025-06-30,30388.0,14752.54,272934.93
F100000,2025-07-31,24114.62,11945.02,283580.14
F100000,2025-08-31,27950.49,15874.62,292939.49
F100001,2024-03-31,32408.89,17171.19,27905.23
F100001,2024-04-30,25043.99,17745.62,33423.99
F100001,2024-05-31,25653.43,15978.47,44144.63
F100001,2024-06-30,30175.76,20132.62,52380.7
F100001,2024-07-31,33209.61,19985.72,64655.56
F100001,2024-08-31,29099.6,17360.46,81338.32
F100001,2024-09-30,29274.9,20211.04,91272.68
F100001,2024-10-31,40042.83,22801.67,105371.64
F100001,2024-11-30,28616.07,19795.4,110741.6
F100001,2024-12-31,21076.54,13550.98,118726.09
F100001,2025-01-31,23687.73,19641.32,120961.76
F100001,2025-02-28,27483.13,19145.62,131174.03
F100001,2025-03-31,23427.16,15167.22,138121.0
F100001,2025-04-30,34392.23,21444.58,152631.01
F100001,2025-05-31,29333.52,18998.18,163229.95
F100001,2025-06-30,18410.57,11754.78,173117.7
F100001,2025-07-31,27394.93,16657.21,183548.96
F100001,2025-08-31,24796.96,15971.91,193749.32
F100002,2024-03-31,43452.9,29524.9,23818.25
F100002,2024-04-30,37070.12,27852.32,35167.43
F100002,2024-05-31,45264.27,40166.58,38680.42
F100002,2024-06-30,44922.37,32122.53,53151.49
F100002,2024-07-31,43722.52,40165.43,54890.58
F100002,2024-08-31,51238.44,39197.75,72274.8
F100002,2024-09-30,42620.52,29810.97,86177.69
F100002,2024-10-31,47733.76,39542.27,92617.05
F100002,2024-11-30,37309.38,30308.35,100995.31
F100002,2024-12-31,48238.28,43063.44,107896.32
F100002,2025-01-31,36722.05,33385.46,108236.83
F100002,2025-02-28,30753.18,24273.95,112753.85
F100002,2025-03-31,32188.81,23664.46,119634.54
F100002,2025-04-30,33868.8,33614.65,117285.13
F100002,2025-05-31,37836.2,29879.68,127568.64
F100002,2025-06-30,32177.33,26939.92,133765.43
F100002,2025-07-31,37518.28,29008.62,142152.06
F100002,2025-08-31,44148.65,29965.49,153701.37
F100003,2024-03-31,27362.76,20912.46,21756.08
F100003,2024-04-30,54924.15,31591.91,42182.81
F100003,2024-05-31,43627.24,33619.32,51221.27
F100003,2024-06-30,58653.16,35361.25,72209.99
F100003,2024-07-31,65864.94,34969.07,104076.1
F100003,2024-08-31,62214.47,42144.54,124517.7
F100003,2024-09-30,63893.26,46294.01,141376.21
F100003,2024-10-31,56296.21,32851.69,164145.87
F100003,2024-11-30,54110.73,30511.18,186764.49
F100003,2024-12-31,54982.7,32086.99,208023.21
F100003,2025-01-31,58875.84,35303.08,227762.35
F100003,2025-02-28,33332.82,19135.55,241160.17
F100003,2025-03-31,67829.51,39570.67,267937.98
F100003,2025-04-30,52943.12,33536.55,285287.54
F100003,2025-05-31,41023.0,25614.34,299530.22
F100003,2025-06-30,52135.55,29236.1,322732.75
F100003,2025-07-31,59107.58,30504.59,357512.77
F100003,2025-08-31,49804.29,34839.24,371590.02
F100004,2024-03-31,37779.25,19079.61,30938.55
F100004,2024-04-30,26054.14,12888.2,45924.68
F100004,2024-05-31,38735.89,22072.67,62065.38
F100004,2024-06-30,30982.23,19579.87,73580.15
F100004,2024-07-31,31922.94,15807.17,86439.84
F100004,2024-08-31,36600.44,17866.71,102237.04
F100004,2024-09-30,30402.88,18026.47,112779.36
F100004,2024-10-31,37071.97,20427.31,128733.71
F100004,2024-11-30,17573.64,10403.9,133864.27
F100004,2024-12-31,33003.41,15014.66,149996.38
F100004,2025-01-31,35716.12,16583.91,169734.79
F100004,2025-02-28,32124.11,16178.79,184512.34
F100004,2025-03-31,31810.61,14705.14,199687.79
F100004,2025-04-30,28437.74,12851.55,213936.16
F100004,2025-05-31,29185.11,15140.19,224882.57
F100004,2025-06-30,28944.32,13301.23,238431.47
F100004,2025-07-31,32183.3,16735.54,250162.75
F100004,2025-08-31,28233.45,16228.19,264271.72
F100005,2024-03-31,20725.39,13472.9,24891.97
F100005,2024-04-30,18759.8,14801.99,29122.98
F100005,2024-05-31,23469.0,14412.66,36222.44
F100005,2024-06-30,26044.55,17037.05,48984.21
F100005,2024-07-31,25416.55,18252.3,56362.77
F100005,2024-08-31,20267.02,13397.13,62664.46
F100005,2024-09-30,22984.57,14859.58,70042.57
F100005,2024-10-31,24483.52,14107.65,79341.84
F100005,2024-11-30,18748.71,14502.45,85030.55
F100005,2024-12-31,19898.89,14525.3,89948.61
F100005,2025-01-31,19091.95,14519.23,91759.0
F100005,2025-02-28,17784.1,15892.63,96492.63
F100005,2025-03-31,20177.64,12606.0,105165.13
F100005,2025-04-30,17749.75,12675.09,112515.7
F100005,2025-05-31,17187.59,15138.84,117184.53
F100005,2025-06-30,21820.6,12959.45,126224.69
F100005,2025-07-31,18690.82,11899.24,133499.18
F100005,2025-08-31,22855.23,12581.37,143310.14
F100006,2024-03-31,47713.42,28960.55,33023.84
F100006,2024-04-30,36106.24,26702.77,44578.76
F100006,2024-05-31,46112.21,30515.37,60200.75
F100006,2024-06-30,44695.24,35536.22,66188.57
F100006,2024-07-31,46730.43,27966.55,81871.74
F100006,2024-08-31,51214.64,33038.81,100751.43
F100006,2024-09-30,52408.36,36191.18,118694.81
F100006,2024-10-31,44113.05,33212.11,130404.83
F100006,2024-11-30,39571.84,31226.87,137228.07
F100006,2024-12-31,40803.96,34446.61,140177.22
F100006,2025-01-31,43258.35,28602.78,155995.18
F100006,2025-02-28,38546.59,21765.43,172436.59
F100006,2025-03-31,42736.09,31159.38,184994.52
F100006,2025-04-30,37296.05,25740.0,196405.74
F100006,2025-05-31,39021.49,24544.12,211998.27
F100006,2025-06-30,29846.45,20106.85,221614.54
F100006,2025-07-31,42655.39,26382.6,236288.01
F100006,2025-08-31,37198.56,29217.36,245165.49
F100007,2024-03-31,42001.28,22695.18,29366.76
F100007,2024-04-30,35413.82,14731.39,51622.22
F100007,2024-05-31,32720.49,15868.25,67547.57
F100007,2024-06-30,22101.67,9982.66,80362.99
F100007,2024-07-31,33362.56,18948.95,96880.75
F100007,2024-08-31,37948.7,21569.75,115713.59
F100007,2024-09-30,45354.9,22041.69,138772.29
F100007,2024-10-31,32931.11,19732.32,152445.76
F100007,2024-11-30,24662.9,12030.78,163783.06
F100007,2024-12-31,31320.77,14897.81,182940.82
F100007,2025-01-31,34685.76,17065.4,201999.37
