firm_id,month,sales,purchases,tax_paid
F100000,2024-03,34318.14,17874.57,3124.28
F100000,2024-04,38835.11,20448.1,3493.53
F100000,2024-05,30580.56,14701.17,3017.08
F100000,2024-06,39541.05,20481.72,3621.27
F100000,2024-07,37343.96,17157.3,3835.46
F100000,2024-08,45520.53,19818.93,4883.3
F100000,2024-09,37270.97,18963.82,3478.36
F100000,2024-10,35696.94,17741.36,3411.56
F100000,2024-11,41255.29,20527.47,3938.29
F100000,2024-12,35806.93,16318.52,3702.8
F100000,2025-01,38487.54,20022.05,3508.44
F100000,2025-02,28781.12,14552.04,2703.52
F100000,2025-03,33405.17,16863.96,3142.83
F100000,2025-04,25019.87,12353.33,2406.64
F100000,2025-05,29807.15,15212.81,2772.92
F100000,2025-06,29509.45,14393.22,2872.08
F100000,2025-07,26315.23,13897.72,2359.33
F100000,2025-08,33176.25,15254.66,3405.1
F100001,2024-03,31330.3,18862.01,2368.98
F100001,2024-04,27435.7,18172.88,1759.94
F100001,2024-05,29547.53,18107.23,2173.66
F100001,2024-06,35601.21,22656.53,2459.49
F100001,2024-07,32056.02,21366.9,2030.93
F100001,2024-08,29683.1,17322.27,2348.56
F100001,2024-09,32741.04,22193.65,2004.0
F100001,2024-10,39774.27,23317.01,3126.88
F100001,2024-11,33827.22,23284.19,2003.18
F100001,2024-12,24897.44,14788.0,1920.79
F100001,2025-01,26978.4,18769.55,1559.68
F100001,2025-02,28923.49,19375.62,1814.1
F100001,2025-03,24633.37,14481.96,1928.77
F100001,2025-04,35474.08,24992.62,1991.48
F100001,2025-05,31650.03,18313.21,2534.0
F100001,2025-06,22605.65,13571.94,1716.41
F100001,2025-07,31413.33,18736.89,2408.52
F100001,2025-08,25777.29,17218.33,1626.2
F100002,2024-03,42103.09,31633.56,1989.21
F100002,2024-04,44996.84,30263.06,2799.42
F100002,2024-05,54104.45,40183.44,2644.99
F100002,2024-06,50894.87,35500.42,2924.95
F100002,2024-07,52377.9,39706.16,2407.63
F100002,2024-08,55640.86,41794.43,2630.82
F100002,2024-09,50674.56,34011.01,3166.07
F100002,2024-10,54210.86,38403.6,3003.38
F100002,2024-11,45021.11,31530.35,2563.24
F100002,2024-12,52538.94,41237.77,2147.22
F100002,2025-01,45373.53,33028.74,2345.51
F100002,2025-02,37932.05,28034.39,1880.56
F100002,2025-03,36384.95,26422.55,1892.86
F100002,2025-04,40559.25,32261.72,1576.53
F100002,2025-05,38765.41,29468.24,1766.46
F100002,2025-06,38940.78,27407.82,2191.26
F100002,2025-07,44259.86,29668.86,2772.29
F100002,2025-08,48603.48,32551.76,3049.83
F100003,2024-03,33922.75,20137.14,2619.27
F100003,2024-04,56063.8,36757.31,3668.23
F100003,2024-05,53341.14,32429.87,3973.14
F100003,2024-06,67187.78,40984.56,4978.61
F100003,2024-07,75033.61,41019.77,6462.63
F100003,2024-08,65414.77,41343.52,4573.54
F100003,2024-09,74662.67,44563.64,5718.82
F100003,2024-10,63135.56,35697.89,5213.16
F100003,2024-11,58171.53,33235.57,4737.83
F100003,2024-12,59392.68,32596.22,5091.33
F100003,2025-01,65550.34,41214.3,4623.85
F100003,2025-02,36079.44,20770.99,2908.61
F100003,2025-03,70163.09,43312.29,5101.65
F100003,2025-04,60253.36,36609.41,4492.35
F100003,2025-05,45067.32,24903.56,3831.11
F100003,2025-06,56252.55,31272.99,4746.12
F100003,2025-07,56912.63,33619.48,4425.7
F100003,2025-08,58547.18,35296.34,4417.66
F100004,2024-03,38350.24,18427.53,3785.31
F100004,2024-04,27083.56,14920.95,2310.9
F100004,2024-05,37995.08,21800.14,3077.04
F100004,2024-06,37544.99,19943.45,3344.29
F100004,2024-07,36488.45,17633.74,3582.39
F100004,2024-08,36146.05,17479.48,3546.65
F100004,2024-09,36256.59,18861.42,3305.08
F100004,2024-10,36872.73,21223.05,2973.44
F100004,2024-11,21457.77,10810.51,2022.98
F100004,2024-12,34774.85,16631.09,3447.31
F100004,2025-01,35024.66,18078.38,3219.79
F100004,2025-02,31951.25,16369.06,2960.62
F100004,2025-03,30361.85,14610.8,2992.7
F100004,2025-04,28495.82,13668.53,2817.19
F100004,2025-05,29544.64,15011.03,2761.38
F100004,2025-06,27785.9,14182.8,2584.59
F100004,2025-07,34304.41,17870.93,3122.36
F100004,2025-08,30001.3,17292.92,2414.59
F100005,2024-03,21758.8,15383.06,1211.39
F100005,2024-04,20890.39,14499.8,1214.21
F100005,2024-05,24415.89,14504.98,1883.07
F100005,2024-06,26840.55,18812.69,1525.29
F100005,2024-07,24373.01,17655.85,1276.26
F100005,2024-08,21656.55,13356.05,1577.09
F100005,2024-09,25674.34,15622.05,1909.94
F100005,2024-10,24255.42,14899.14,1777.69
F100005,2024-11,22290.85,14633.79,1454.84
F100005,2024-12,23728.39,15949.31,1478.02
F100005,2025-01,22295.56,15850.61,1224.54
F100005,2025-02,21462.54,15575.01,1118.63
F100005,2025-03,21700.9,13875.71,1486.78
F100005,2025-04,18573.04,13302.1,1001.48
F100005,2025-05,20313.62,14491.51,1106.2
F100005,2025-06,21619.53,14219.99,1405.91
F100005,2025-07,20507.06,13012.25,1424.01
F100005,2025-08,23172.22,14549.27,1638.36
F100006,2024-03,47960.92,31876.66,3056.01
F100006,2024-04,43940.9,31090.24,2441.62
F100006,2024-05,52898.63,34834.7,3432.15
F100006,2024-06,55799.25,40444.6,2917.38
F100006,2024-07,48474.96,30547.77,3406.17
F100006,2024-08,52601.58,35791.12,3193.99
F100006,2024-09,54851.86,39968.07,2827.92
F100006,2024-10,46920.63,32337.94,2770.71
F100006,2024-11,47873.18,29938.66,3407.56
F100006,2024-12,50038.4,33956.76,3055.51
F100006,2025-01,49771.27,33412.83,3108.1
F100006,2025-02,38976.52,23657.86,2910.55
F100006,2025-03,48878.54,34930.53,2650.12
F100006,2025-04,45442.3,29193.4,3087.29
F100006,2025-05,37992.41,23875.53,2682.21
F100006,2025-06,34997.97,22960.42,2287.13
F100006,2025-07,44772.87,29015.76,2993.85
F100006,2025-08,42246.67,30298.94,2270.07
F100007,2024-03,47351.89,21812.7,4852.45
F100007,2024-04,37275.02,16962.83,3859.32
F100007,2024-05,37401.13,18462.68,3598.31
F100007,2024-06,22759.97,11578.59,2124.46
F100007,2024-07,36671.88,19009.04,3355.94
F100007,2024-08,38386.69,21137.78,3277.29
F100007,2024-09,43877.51,23323.52,3905.26
F100007,2024-10,36274.14,19460.93,3194.51
F100007,2024-11,25233.05,12014.15,2511.59
F100007,2024-12,33151.1,16863.06,3094.73
F100007,2025-01,34722.26,18188.67,3141.38
F100007,2025-02,38529.61,20692.07,3389.13
F100007,2025-03,32484.56,17510.43,2845.09
F100007,2025-04,30596.27,15186.83,2927.79
F100007,2025-05,33195.79,15902.71,3285.69
F100007,2025-06,20875.15,9603.26,2141.66
F100007,2025-07,33907.2,16443.55,3318.09
F100007,2025-08,25353.41,13168.98,2315.04
F100008,2024-03,67339.42,49566.32,3376.89
F100008,2024-04,46675.53,29265.15,3307.97
F100008,2024-05,62850.52,38516.13,4623.53
F100008,2024-06,56633.42,40499.63,3065.42
F100008,2024-07,52652.17,34328.6,3481.48
F100008,2024-08,61878.18,43003.03,3586.28
F100008,2024-09,58174.29,39912.61,3469.72
F100008,2024-10,60459.86,39152.41,4048.42
F100008,2024-11,57942.88,39551.89,3494.29
F100008,2024-12,52086.01,34068.53,3423.32
F100008,2025-01,79384.93,52848.13,5041.99
F100008,2025-02,65369.86,40207.5,4780.85
F100008,2025-03,51380.33,35867.82,2947.38
F100008,2025-04,41921.9,29565.04,2347.8
F100008,2025-05,55595.42,36656.98,3598.3
F100008,2025-06,57228.28,38282.5,3599.7
F100008,2025-07,57738.4,40488.41,3277.5
F100008,2025-08,59070.5,38073.12,3989.5
F100009,2024-03,28882.74,15307.42,2579.31
F100009,2024-04,27565.42,13966.15,2583.86
F100009,2024-05,21544.7,11201.56,1965.2
F100009,2024-06,26954.1,13140.26,2624.63
F100009,2024-07,26824.84,12775.36,2669.4
F100009,2024-08,29616.38,14982.21,2780.49
F100009,2024-09,27042.8,14143.84,2450.8
F100009,2024-10,35417.29,18469.45,3220.09
F100009,2024-11,28195.72,13825.01,2730.44
F100009,2024-12,23531.05,11083.03,2365.12
F100009,2025-01,29255.8,15151.75,2679.77
F100009,2025-02,19650.51,9568.85,1915.52
F100009,2025-03,14026.05,7019.41,1331.26
F100009,2025-04,29213.99,13319.24,3020.0
F100009,2025-05,16163.35,7212.49,1700.66
F100009,2025-06,19957.33,10560.49,1785.4
F100009,2025-07,21187.94,11216.91,1894.5
F100009,2025-08,27855.66,14064.23,2620.37
F100010,2024-03,43373.46,20087.32,4424.37
F100010,2024-04,45976.03,22636.77,4434.46
F100010,2024-05,43078.76,20109.04,4364.25
F100010,2024-06,42589.64,23056.35,3711.32
F100010,2024-07,49570.55,23576.1,4938.95
F100010,2024-08,54914.19,26204.69,5454.81
F100010,2024-09,51331.08,23995.38,5193.78
F100010,2024-10,45956.13,21123.01,4718.29
F100010,2024-11,46766.73,20948.81,4905.41
F100010,2024-12,47452.4,21465.25,4937.56
F100010,2025-01,40703.48,21681.79,3614.12
F100010,2025-02,43580.81,21399.65,4214.42
F100010,2025-03,42658.59,21224.87,4072.41
F100010,2025-04,45638.3,21954.6,4499.9
F100010,2025-05,41855.27,22387.27,3698.92
F100010,2025-06,42394.32,21809.77,3911.06
F100010,2025-07,40507.55,21281.16,3653.01
F100010,2025-08,43122.91,22535.62,3911.58
F100011,2024-03,26754.84,17201.48,1815.14
F100011,2024-04,29671.94,18457.76,2130.69
F100011,2024-05,28703.43,19517.48,1745.33
F100011,2024-06,29312.78,20291.95,1713.96
F100011,2024-07,31576.21,20288.81,2144.61
F100011,2024-08,29276.4,18976.52,1956.98
F100011,2024-09,32210.91,23913.22,1576.56
F100011,2024-10,31148.29,23133.85,1522.74
F100011,2024-11,28922.85,19936.36,1707.43
F100011,2024-12,27589.78,19962.1,1449.26
F100011,2025-01,25355.72,17355.56,1520.03
F100011,2025-02,25707.67,19407.66,1197.0
F100011,2025-03,23830.01,17702.5,1164.23
F100011,2025-04,24121.23,16595.89,1429.81
F100011,2025-05,23143.3,16833.46,1198.87
F100011,2025-06,24803.87,16946.72,1492.86
F100011,2025-07,26173.41,17671.27,1615.41
F100011,2025-08,27340.22,19079.38,1569.56
F100012,2024-03,31959.0,19941.89,2283.25
F100012,2024-04,33208.4,19998.85,2509.81
F100012,2024-05,33597.75,21577.6,2283.83
F100012,2024-06,36189.73,23724.61,2368.37
F100012,2024-07,31523.65,20742.19,2048.48
F100012,2024-08,34272.2,20779.73,2563.57
F100012,2024-09,38328.28,22245.58,3055.71
F100012,2024-10,32738.67,18296.03,2744.1
F100012,2024-11,37361.36,23800.23,2576.62
F100012,2024-12,30317.14,17311.34,2471.1
F100012,2025-01,33495.73,20611.16,2448.07
F100012,2025-02,26471.92,16665.17,1863.28
F100012,2025-03,27505.91,15759.3,2231.86
F100012,2025-04,28876.76,16675.75,2318.19
F100012,2025-05,28448.64,15776.95,2407.62
F100012,2025-06,29209.67,18738.01,1989.62
F100012,2025-07,35127.26,20317.54,2813.85
F100012,2025-08,31765.51,18669.79,2488.19
F100013,2024-03,61155.64,30657.89,5794.57
F100013,2024-04,49059.53,22578.66,5031.36
F100013,2024-05,62009.6,31308.56,5833.2
F100013,2024-06,58244.44,24293.33,6450.71
F100013,2024-07,75611.21,31295.83,8419.92
F100013,2024-08,67771.28,28977.66,7370.79
F100013,2024-09,72717.35,30612.2,7999.98
F100013,2024-10,53246.13,23973.19,5561.86
F100013,2024-11,51116.24,23337.29,5278.0
F100013,2024-12,53598.69,22766.89,5858.04
F100013,2025-01,53593.09,24707.14,5488.33
F100013,2025-02,64000.81,31940.73,6091.42
